排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
32,帕斯卡尔-西亚卡姆,猛龙,17.00,6.50-16.50,39.6%,0.90-4.80,18.9%,3.00-4.20,71.7%,11,38.00
33,鲁迪-戈贝尔,爵士,16.90,6.90-10.60,64.9%,0.00-0.00,0%,3.10-6.00,52.4%,7,38.60
34,约什-理查德森,76人,16.80,5.00-14.00,35.7%,2.50-7.00,35.7%,4.20-4.50,94.4%,4,36.00
35,乔丹-克拉克森,爵士,16.70,6.40-13.90,46.4%,2.40-7.00,34.7%,1.40-1.40,100%,7,28.60
36,特伦斯-罗斯,魔术,16.40,6.00-12.80,46.9%,2.00-6.00,33.3%,2.40-2.80,85.7%,5,27.00
37,谢伊-吉尔杰斯-亚历山大,雷霆,16.30,5.60-12.90,43.3%,2.00-5.00,40%,3.10-3.30,95.7%,7,39.90
38,巴姆-阿德巴约,热火,16.20,5.90-10.90,54.1%,0.00-0.00,0%,4.40-5.10,87%,9,35.30
39,蒂莫泰-卢瓦乌-卡巴罗,篮网,16.00,5.00-14.80,33.9%,3.20-9.80,33.3%,2.80-3.00,91.7%,4,32.80
40,布鲁克-洛佩斯,雄鹿,15.80,6.10-11.40,53.5%,2.10-5.30,39.6%,1.50-2.00,75%,10,32.80
40,迈尔斯-特纳,步行者,15.80,6.20-11.00,56.8%,1.50-3.50,42.9%,1.80-4.00,43.8%,4,36.50
40,托拜厄斯-哈里斯,76人,15.80,5.80-15.00,38.3%,0.50-3.80,13.3%,3.80-4.80,78.9%,4,37.30
43,卡梅罗-安东尼,开拓者,15.20,5.60-13.60,41.2%,1.60-3.80,42.1%,2.40-2.80,85.7%,5,35.20
44,达尼罗-加里纳利,雷霆,15.00,4.60-11.30,40.5%,1.70-5.30,32.4%,4.10-4.30,96.7%,7,30.30
45,赛尔吉-伊巴卡,猛龙,14.80,5.70-10.00,57.3%,2.10-4.10,51.1%,1.30-1.30,100%,11,22.80
46,泰勒-希罗,热火,14.70,4.80-11.60,41.3%,2.40-6.10,40%,2.70-3.10,85.7%,9,32.30
47,谢克-米尔顿,76人,14.50,5.20-11.00,47.7%,2.50-6.20,40%,1.50-1.80,85.7%,4,31.50
48,优素福-努尔基奇,开拓者,14.20,5.00-11.40,43.9%,0.60-2.20,27.3%,3.60-4.60,78.3%,5,32.20
49,泰勒-约翰逊,篮网,13.80,5.20-11.50,45.7%,2.80-7.00,39.3%,0.50-0.50,100%,4,23.30
50,诺曼-鲍威尔,猛龙,13.40,4.60-9.40,49%,2.00-4.70,42.3%,2.10-2.60,79.3%,11,24.80
51,路易斯-威廉姆斯,快船,13.20,4.90-11.30,43.5%,0.90-4.10,22.2%,2.50-3.10,79.4%,11,26.50
51,DJ-奥古斯丁,魔术,13.20,3.60-9.20,39.1%,1.60-3.40,47.1%,4.40-4.60,95.7%,5,25.60
53,马库斯-斯马特,凯尔特人,13.10,4.10-10.40,39.5%,2.40-6.90,34.2%,2.50-3.00,84.8%,11,38.00
54,马库斯-莫里斯,快船,12.80,4.80-8.80,54.6%,2.40-4.40,53.1%,0.80-0.90,90%,11,30.20
54,塞思-库里,独行侠,12.80,5.20-8.80,58.5%,1.70-3.50,47.6%,0.80-0.80,100%,6,28.80
54,杰-克劳德,热火,12.80,3.90-9.20,42.2%,3.30-8.30,40%,1.70-2.20,75%,9,30.00
54,埃文-富尼耶,魔术,12.80,4.00-11.40,35.1%,2.40-7.00,34.3%,2.40-3.40,70.6%,5,34.20
58,吕冈茨-多尔特,雷霆,12.50,4.50-12.70,35.5%,2.20-8.30,26%,1.30-2.50,53.3%,6,29.20
59,特雷-伯克,独行侠,12.30,5.00-9.80,50.8%,1.30-2.80,47.1%,1.00-1.70,60%,6,26.00
